datetime,open,high,low,close,volume
2023-12-14 15:34:%00,16530.25,16537.50,16529.75,16533.75,5
2023-12-14 15:35:%00,16530.00,16531.75,16530.00,16530.00,3
2023-12-14 15:36:%00,16530.00,16535.00,16530.00,16531.25,4
2023-12-14 15:37:%00,16530.75,16530.75,16530.75,16530.75,1
2023-12-14 15:38:%00,16530.75,16530.75,16530.75,16530.75,0
2023-12-14 15:39:%00,16532.25,16532.25,16530.75,16530.75,2
2023-12-14 15:40:%00,16529.50,16535.25,16529.50,16535.00,5
2023-12-14 15:41:%00,16535.25,16535.25,16535.25,16535.25,1
2023-12-14 15:42:%00,16536.00,16539.00,16531.00,16531.75,9
2023-12-14 15:43:%00,16531.75,16536.25,16530.00,16530.00,5
2023-12-14 15:44:%00,16530.00,16530.25,16530.00,16530.25,1
2023-12-14 15:45:%00,16535.50,16535.50,16530.00,16534.25,4
2023-12-14 15:46:%00,16534.75,16539.00,16525.00,16529.00,10
2023-12-14 15:47:%00,16529.00,16534.50,16529.00,16530.75,2
2023-12-14 15:48:%00,16534.00,16534.00,16534.00,16534.00,1
2023-12-14 15:49:%00,16533.50,16534.00,16530.00,16530.00,3
2023-12-14 15:50:%00,16534.00,16534.00,16530.00,16532.25,4
2023-12-14 15:51:%00,16534.00,16534.00,16532.25,16534.00,5
2023-12-14 15:52:%00,16530.75,16534.00,16530.75,16534.00,3
2023-12-14 15:53:%00,16534.75,16534.75,16532.75,16532.75,5
2023-12-14 15:54:%00,16530.25,16537.50,16530.25,16530.25,5
2023-12-14 15:55:%00,16537.25,16537.25,16529.25,16530.00,11
2023-12-14 15:56:%00,16536.75,16536.75,16536.75,16536.75,1
2023-12-14 15:57:%00,16537.00,16537.25,16532.75,16532.75,3
2023-12-14 15:58:%00,16534.75,16534.75,16527.75,16527.75,4
2023-12-14 15:59:%00,16536.25,16538.25,16525.25,16525.25,3
2023-12-14 17:00:%00,16525.00,16544.00,16524.00,16526.00,7
2023-12-14 17:01:%00,16534.25,16534.25,16525.50,16525.50,11
2023-12-14 17:02:%00,16525.25,16525.50,16520.75,16525.50,9
2023-12-14 17:03:%00,16525.50,16529.75,16523.50,16524.75,6
2023-12-14 17:04:%00,16525.00,16527.75,16525.00,16527.75,3
2023-12-14 17:05:%00,16525.00,16526.00,16525.00,16525.50,10
2023-12-14 17:06:%00,16525.50,16527.75,16519.50,16521.75,30
2023-12-14 17:07:%00,16521.75,16521.75,16519.25,16521.50,29
2023-12-14 17:08:%00,16521.50,16523.75,16521.00,16521.00,3
2023-12-14 17:09:%00,16521.50,16521.50,16521.00,16521.00,2
2023-12-14 17:10:%00,16523.00,16524.75,16521.50,16524.75,11
2023-12-14 17:11:%00,16524.75,16528.75,16523.50,16523.50,8
2023-12-14 17:12:%00,16525.00,16525.50,16525.00,16525.50,2
2023-12-14 17:13:%00,16528.75,16528.75,16527.00,16527.25,3
2023-12-14 17:14:%00,16527.25,16527.25,16527.25,16527.25,0
2023-12-14 17:15:%00,16527.75,16530.75,16527.50,16529.25,11
2023-12-14 17:16:%00,16531.00,16532.25,16530.75,16532.25,5
2023-12-14 17:17:%00,16532.25,16532.25,16529.25,16529.25,4
2023-12-14 17:18:%00,16529.75,16531.50,16529.75,16531.50,4
2023-12-14 17:19:%00,16532.50,16533.50,16531.50,16533.50,5
2023-12-14 17:20:%00,16535.00,16537.75,16535.00,16537.50,10
2023-12-14 17:21:%00,16537.75,16538.00,16536.75,16536.75,8
2023-12-14 17:22:%00,16537.00,16537.75,16537.00,16537.75,3
